model,LS,MAE,date,horizon,place,forecast_date
resample_80_last_10,-0.0437,13.0000,2020-06-03,3.0000,TN,2020-05-31
resample_80_last_10,-0.0437,35.0000,2020-06-03,3.0000,LA,2020-05-31
resample_80_last_10,-0.0437,6.0000,2020-06-03,3.0000,WA,2020-05-31
resample_80_last_10,-0.0437,3.0000,2020-06-03,3.0000,NM,2020-05-31
resample_80_last_10,-0.0437,6.0000,2020-06-03,3.0000,CO,2020-05-31
resample_80_last_10,-0.0437,11.0000,2020-06-03,3.0000,AL,2020-05-31
resample_80_last_10,-0.0794,35.0000,2020-06-04,4.0000,FL,2020-05-31
resample_80_last_10,-0.0794,3.0000,2020-06-04,4.0000,TX,2020-05-31
resample_80_last_10,-0.0794,15.5000,2020-06-04,4.0000,MN,2020-05-31
resample_80_last_10,-0.0794,2.0000,2020-06-04,4.0000,NJ,2020-05-31
resample_80_last_10,-0.0794,16.0000,2020-06-04,4.0000,RI,2020-05-31
resample_80_last_10,-0.0794,0.0000,2020-06-04,4.0000,MT,2020-05-31
resample_80_last_10,-0.0794,1.0000,2020-06-04,4.0000,WV,2020-05-31
resample_80_last_10,-0.0794,2.0000,2020-06-04,4.0000,DE,2020-05-31
resample_80_last_10,-0.0794,5.0000,2020-06-04,4.0000,NE,2020-05-31
resample_80_last_10,-0.0794,10.0000,2020-06-04,4.0000,GA,2020-05-31
resample_80_last_10,-0.0794,3.0000,2020-06-04,4.0000,SD,2020-05-31
resample_80_last_10,-0.0794,65.0000,2020-06-04,4.0000,PA,2020-05-31
resample_80_last_10,-0.0794,14.0000,2020-06-04,4.0000,WI,2020-05-31
resample_80_last_10,-0.0794,1.0000,2020-06-04,4.0000,MS,2020-05-31
resample_80_last_10,-0.0794,46.0000,2020-06-04,4.0000,CT,2020-05-31
resample_80_last_10,-0.0794,0.0000,2020-06-04,4.0000,WY,2020-05-31
resample_80_last_10,-0.0794,5.0000,2020-06-04,4.0000,UT,2020-05-31
resample_80_last_10,-0.0794,17.0000,2020-06-04,4.0000,CA,2020-05-31
resample_80_last_10,-0.0794,147.0000,2020-06-04,4.0000,MA,2020-05-31
resample_80_last_10,-0.0794,10.0000,2020-06-04,4.0000,NH,2020-05-31
resample_80_last_10,-0.0794,2.0000,2020-06-04,4.0000,OR,2020-05-31
resample_80_last_10,-0.0794,28.0000,2020-06-04,4.0000,SC,2020-05-31
resample_80_last_10,-0.0794,8.0000,2020-06-04,4.0000,KS,2020-05-31
resample_80_last_10,-0.0794,77.0000,2020-06-04,4.0000,OH,2020-05-31
resample_80_last_10,-0.0794,34.5000,2020-06-04,4.0000,VA,2020-05-31
resample_80_last_10,-0.0794,7.0000,2020-06-04,4.0000,AR,2020-05-31
resample_80_last_10,-0.0794,8.0000,2020-06-04,4.0000,KY,2020-05-31
resample_80_last_10,-0.0794,1.0000,2020-06-04,4.0000,ME,2020-05-31
resample_80_last_10,-0.0794,19.0000,2020-06-04,4.0000,MI,2020-05-31
resample_80_last_10,-0.0794,0.0000,2020-06-04,4.0000,AK,2020-05-31
resample_80_last_10,-0.0794,85.0000,2020-06-04,4.0000,IL,2020-05-31
resample_80_last_10,-0.0794,13.0000,2020-06-04,4.0000,IN,2020-05-31
resample_80_last_10,-0.0794,6.0000,2020-06-04,4.0000,MO,2020-05-31
resample_80_last_10,-0.0794,15.0000,2020-06-04,4.0000,NC,2020-05-31
resample_80_last_10,-0.0794,7.0000,2020-06-04,4.0000,DC,2020-05-31
resample_80_last_10,-0.0794,1.0000,2020-06-04,4.0000,ND,2020-05-31
resample_80_last_10,-0.0794,0.0000,2020-06-04,4.0000,VT,2020-05-31
resample_80_last_10,-0.0794,1.0000,2020-06-04,4.0000,ID,2020-05-31
resample_80_last_10,-0.0794,1.0000,2020-06-04,4.0000,OK,2020-05-31
resample_80_last_10,-0.0794,24.0000,2020-06-04,4.0000,AZ,2020-05-31
resample_80_last_10,-0.0794,6.0000,2020-06-04,4.0000,IA,2020-05-31
resample_80_last_10,-0.0794,3.0000,2020-06-04,4.0000,NV,2020-05-31
resample_80_last_10,-0.0794,0.0000,2020-06-04,4.0000,HI,2020-05-31
resample_80_last_10,-0.0794,7.0000,2020-06-04,4.0000,MD,2020-05-31
resample_80_last_10,-0.0794,106.0000,2020-06-04,4.0000,NY,2020-05-31
resample_80_last_10,-0.0794,22.0000,2020-06-04,4.0000,TN,2020-05-31
resample_80_last_10,-0.0794,34.0000,2020-06-04,4.0000,LA,2020-05-31
resample_80_last_10,-0.0794,9.0000,2020-06-04,4.0000,WA,2020-05-31
resample_80_last_10,-0.0794,6.0000,2020-06-04,4.0000,NM,2020-05-31
resample_80_last_10,-0.0794,10.0000,2020-06-04,4.0000,CO,2020-05-31
resample_80_last_10,-0.0794,22.0000,2020-06-04,4.0000,AL,2020-05-31
resample_80_last_10,-0.0904,57.0000,2020-06-05,5.0000,FL,2020-05-31
resample_80_last_10,-0.0904,13.0000,2020-06-05,5.0000,TX,2020-05-31
resample_80_last_10,-0.0904,6.0000,2020-06-05,5.0000,MN,2020-05-31
resample_80_last_10,-0.0904,13.5000,2020-06-05,5.0000,NJ,2020-05-31
resample_80_last_10,-0.0904,13.0000,2020-06-05,5.0000,RI,2020-05-31
resample_80_last_10,-0.0904,1.0000,2020-06-05,5.0000,MT,2020-05-31
resample_80_last_10,-0.0904,6.0000,2020-06-05,5.0000,WV,2020-05-31
resample_80_last_10,-0.0904,0.0000,2020-06-05,5.0000,DE,2020-05-31
resample_80_last_10,-0.0904,2.0000,2020-06-05,5.0000,NE,2020-05-31
resample_80_last_10,-0.0904,12.5000,2020-06-05,5.0000,GA,2020-05-31
resample_80_last_10,-0.0904,4.0000,2020-06-05,5.0000,SD,2020-05-31
resample_80_last_10,-0.0904,83.0000,2020-06-05,5.0000,PA,2020-05-31
resample_80_last_10,-0.0904,19.0000,2020-06-05,5.0000,WI,2020-05-31
resample_80_last_10,-0.0904,7.0000,2020-06-05,5.0000,MS,2020-05-31
resample_80_last_10,-0.0904,39.0000,2020-06-05,5.0000,CT,2020-05-31
resample_80_last_10,-0.0904,1.0000,2020-06-05,5.0000,WY,2020-05-31
resample_80_last_10,-0.0904,5.0000,2020-06-05,5.0000,UT,2020-05-31
resample_80_last_10,-0.0904,37.0000,2020-06-05,5.0000,CA,2020-05-31
resample_80_last_10,-0.0904,128.0000,2020-06-05,5.0000,MA,2020-05-31
resample_80_last_10,-0.0904,10.0000,2020-06-05,5.0000,NH,2020-05-31
resample_80_last_10,-0.0904,3.0000,2020-06-05,5.0000,OR,2020-05-31
resample_80_last_10,-0.0904,0.0000,2020-06-05,5.0000,SC,2020-05-31
resample_80_last_10,-0.0904,12.0000,2020-06-05,5.0000,KS,2020-05-31
resample_80_last_10,-0.0904,69.0000,2020-06-05,5.0000,OH,2020-05-31
resample_80_last_10,-0.0904,54.0000,2020-06-05,5.0000,VA,2020-05-31
resample_80_last_10,-0.0904,5.0000,2020-06-05,5.0000,AR,2020-05-31
resample_80_last_10,-0.0904,10.0000,2020-06-05,5.0000,KY,2020-05-31
resample_80_last_10,-0.0904,2.0000,2020-06-05,5.0000,ME,2020-05-31
resample_80_last_10,-0.0904,24.0000,2020-06-05,5.0000,MI,2020-05-31
resample_80_last_10,-0.0904,0.0000,2020-06-05,5.0000,AK,2020-05-31
resample_80_last_10,-0.0904,82.0000,2020-06-05,5.0000,IL,2020-05-31
resample_80_last_10,-0.0904,19.5000,2020-06-05,5.0000,IN,2020-05-31
resample_80_last_10,-0.0904,5.0000,2020-06-05,5.0000,MO,2020-05-31
resample_80_last_10,-0.0904,29.0000,2020-06-05,5.0000,NC,2020-05-31
resample_80_last_10,-0.0904,7.0000,2020-06-05,5.0000,DC,2020-05-31
resample_80_last_10,-0.0904,5.0000,2020-06-05,5.0000,ND,2020-05-31
resample_80_last_10,-0.0904,0.0000,2020-06-05,5.0000,VT,2020-05-31
resample_80_last_10,-0.0904,1.0000,2020-06-05,5.0000,ID,2020-05-31
resample_80_last_10,-0.0904,0.0000,2020-06-05,5.0000,OK,2020-05-31
resample_80_last_10,-0.0904,19.0000,2020-06-05,5.0000,AZ,2020-05-31
resample_80_last_10,-0.0904,6.0000,2020-06-05,5.0000,IA,2020-05-31
resample_80_last_10,-0.0904,1.0000,2020-06-05,5.0000,NV,2020-05-31
resample_80_last_10,-0.0904,0.0000,2020-06-05,5.0000,HI,2020-05-31
resample_80_last_10,-0.0904,9.0000,2020-06-05,5.0000,MD,2020-05-31
resample_80_last_10,-0.0904,109.0000,2020-06-05,5.0000,NY,2020-05-31
resample_80_last_10,-0.0904,26.0000,2020-06-05,5.0000,TN,2020-05-31
resample_80_last_10,-0.0904,48.0000,2020-06-05,5.0000,LA,2020-05-31
resample_80_last_10,-0.0904,6.0000,2020-06-05,5.0000,WA,2020-05-31
resample_80_last_10,-0.0904,5.0000,2020-06-05,5.0000,NM,2020-05-31
resample_80_last_10,-0.0904,7.5000,2020-06-05,5.0000,CO,2020-05-31
resample_80_last_10,-0.0904,10.0000,2020-06-05,5.0000,AL,2020-05-31
resample_80_last_10,-0.1054,54.0000,2020-06-06,6.0000,FL,2020-05-31
resample_80_last_10,-0.1054,8.0000,2020-06-06,6.0000,TX,2020-05-31
resample_80_last_10,-0.1054,6.0000,2020-06-06,6.0000,MN,2020-05-31
resample_80_last_10,-0.1054,6.0000,2020-06-06,6.0000,NJ,2020-05-31
resample_80_last_10,-0.1054,26.0000,2020-06-06,6.0000,RI,2020-05-31
resample_80_last_10,-0.1054,0.0000,2020-06-06,6.0000,MT,2020-05-31
resample_80_last_10,-0.1054,5.0000,2020-06-06,6.0000,WV,2020-05-31
resample_80_last_10,-0.1054,2.0000,2020-06-06,6.0000,DE,2020-05-31
resample_80_last_10,-0.1054,1.0000,2020-06-06,6.0000,NE,2020-05-31
resample_80_last_10,-0.1054,34.5000,2020-06-06,6.0000,GA,2020-05-31
resample_80_last_10,-0.1054,4.0000,2020-06-06,6.0000,SD,2020-05-31
resample_80_last_10,-0.1054,68.0000,2020-06-06,6.0000,PA,2020-05-31
resample_80_last_10,-0.1054,20.0000,2020-06-06,6.0000,WI,2020-05-31
resample_80_last_10,-0.1054,15.0000,2020-06-06,6.0000,MS,2020-05-31
resample_80_last_10,-0.1054,46.0000,2020-06-06,6.0000,CT,2020-05-31
resample_80_last_10,-0.1054,1.0000,2020-06-06,6.0000,WY,2020-05-31
resample_80_last_10,-0.1054,6.0000,2020-06-06,6.0000,UT,2020-05-31
resample_80_last_10,-0.1054,45.5000,2020-06-06,6.0000,CA,2020-05-31
resample_80_last_10,-0.1054,137.0000,2020-06-06,6.0000,MA,2020-05-31
resample_80_last_10,-0.1054,11.0000,2020-06-06,6.0000,NH,2020-05-31
resample_80_last_10,-0.1054,3.0000,2020-06-06,6.0000,OR,2020-05-31
resample_80_last_10,-0.1054,10.0000,2020-06-06,6.0000,SC,2020-05-31
resample_80_last_10,-0.1054,13.0000,2020-06-06,6.0000,KS,2020-05-31
resample_80_last_10,-0.1054,59.0000,2020-06-06,6.0000,OH,2020-05-31
